"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
178,"State Representative, 88th Representative District","Robert J. BENVENUTI III.","REP",11592,64.17,208882,98497,1,1,"0","0"
179,"State Representative, 88th Representative District","Creasa E. REED","DEM",6473,35.83,208882,98497,1,1,"0","0"
180,"State Representative, 89th Representative District","Marie L. RADER","REP",9677,70.16,112775,49402,3,3,"0","290"
181,"State Representative, 89th Representative District","Joey Jayson TAYLOR II.","DEM",4116,29.84,112775,49402,3,3,"0","290"
182,"State Representative, 90th Representative District","Tim COUCH","REP",10335,83.62,67452,28372,3,3,"0","0"
183,"State Representative, 90th Representative District","Darrell D. MILLS","IND",2024,16.38,67452,28372,3,3,"0","0"
184,"State Representative, 91st Representative District","Gary "Toby" HERALD","REP",6923,49.95,90060,41763,5,5,"0","0"
185,"State Representative, 91st Representative District","Cluster HOWARD","DEM",6937,50.05,90060,41763,5,5,"0","0"
186,"State Representative, 92nd Representative District","John W. SHORT","DEM",9477,100.00,70064,30395,3,3,"0","0"
187,"State Representative, 93rd Representative District","Chris HARRIS","DEM",8517,100.00,56428,23720,2,2,"0","0"
188,"State Representative, 94th Representative District","Leslie A. COMBS","DEM",10187,100.00,64545,27360,2,2,"0","0"
189,"State Representative, 95th Representative District","Gregory D. STUMBO","DEM",10602,100.00,78471,33128,2,2,"0","3653"
190,"State Representative, 96th Representative District","Jill YORK","REP",7541,55.73,31460,14346,2,2,"0","0"
191,"State Representative, 96th Representative District","Barry WEBB","DEM",5991,44.27,31460,14346,2,2,"0","0"
192,"State Representative, 97th Representative District","Bobby W. McCOOL","REP",5199,36.84,32227,15260,3,3,"0","302"
193,"State Representative, 97th Representative District","Hubert COLLINS","DEM",8915,63.16,32227,15260,3,3,"0","302"
194,"State Representative, 98th Representative District","Tanya PULLIN","DEM",9961,100.00,65820,26940,2,2,"0","0"
195,"State Representative, 99th Representative District","Rocky ADKINS","DEM",9572,100.00,29418,13326,3,3,"0","355"
